time_s,x_m,y_m,z_m
0.000000000,450.616652386,117.259827952,0.000000000
0.200000000,447.738750322,119.342887282,0.000000000
0.400000000,444.860848259,121.425946613,0.000000000
0.600000000,441.982946195,123.509005943,0.000000000
0.800000000,439.105044131,125.592065273,0.000000000
1.000000000,436.227142068,127.675124604,0.000000000
1.200000000,433.349240004,129.758183934,0.000000000
1.400000000,430.471337940,131.841243264,0.000000000
1.600000000,427.593435877,133.924302595,0.000000000
1.800000000,424.715533813,136.007361925,0.000000000
2.000000000,421.837631749,138.090421255,0.000000000
2.200000000,418.959729686,140.173480586,0.000000000
2.400000000,416.081827622,142.256539916,0.000000000
2.600000000,413.203925558,144.339599246,0.000000000
2.800000000,410.326023494,146.422658577,0.000000000
3.000000000,407.448121431,148.505717907,0.000000000
3.200000000,404.570219367,150.588777237,0.000000000
3.400000000,401.692317303,152.671836568,0.000000000
3.600000000,398.814415240,154.754895898,0.000000000
3.800000000,395.936513176,156.837955228,0.000000000
4.000000000,393.058611112,158.921014559,0.000000000
4.200000000,390.180709049,161.004073889,0.000000000
4.400000000,387.302806985,163.087133219,0.000000000
4.600000000,384.424904921,165.170192550,0.000000000
4.800000000,381.547002858,167.253251880,0.000000000
5.000000000,378.669100794,169.336311210,0.000000000
5.200000000,375.791198730,171.419370541,0.000000000
5.400000000,372.913296667,173.502429871,0.000000000
5.600000000,370.035394603,175.585489201,0.000000000
5.800000000,367.157492539,177.668548532,0.000000000
6.000000000,364.279590476,179.751607862,0.000000000
6.200000000,361.401688412,181.834667192,0.000000000
6.400000000,358.523786348,183.917726523,0.000000000
6.600000000,355.645884285,186.000785853,0.000000000
6.800000000,352.767982221,188.083845183,0.000000000
7.000000000,349.890080157,190.166904514,0.000000000
7.200000000,347.012178094,192.249963844,0.000000000
7.400000000,344.134276030,194.333023174,0.000000000
7.600000000,341.256373966,196.416082505,0.000000000
7.800000000,338.378471903,198.499141835,0.000000000
8.000000000,335.500569839,200.582201165,0.000000000
8.200000000,332.622667775,202.665260496,0.000000000
8.400000000,332.909454162,205.160642196,0.000000000
8.600000000,333.236332633,207.661247433,0.000000000
8.800000000,333.563211105,210.161852670,0.000000000
9.000000000,333.890089576,212.662457906,0.000000000
9.200000000,334.216968048,215.163063143,0.000000000
9.400000000,334.543846519,217.663668379,0.000000000
9.600000000,334.870724991,220.164273616,0.000000000
9.800000000,335.197603462,222.664878853,0.000000000
10.000000000,335.524481934,225.165484089,0.000000000
10.200000000,335.851360405,227.666089326,0.000000000
10.400000000,336.178238877,230.166694563,0.000000000
10.600000000,336.505117348,232.667299799,0.000000000
10.800000000,336.831995820,235.167905036,0.000000000
11.000000000,337.158874291,237.668510272,0.000000000
11.200000000,337.485752763,240.169115509,0.000000000
11.400000000,337.812631234,242.669720746,0.000000000
11.600000000,338.139509706,245.170325982,0.000000000
11.800000000,338.466388177,247.670931219,0.000000000
12.000000000,338.793266649,250.171536455,0.000000000
12.200000000,339.120145120,252.672141692,0.000000000
12.400000000,339.447023592,255.172746929,0.000000000
12.600000000,339.773902063,257.673352165,0.000000000
12.800000000,340.100780535,260.173957402,0.000000000
13.000000000,340.427659006,262.674562639,0.000000000
13.200000000,340.754537478,265.175167875,0.000000000
13.400000000,341.081415949,267.675773112,0.000000000
13.600000000,341.408294421,270.176378348,0.000000000
13.800000000,341.735172892,272.676983585,0.000000000
14.000000000,342.062051364,275.177588822,0.000000000
14.200000000,342.388929835,277.678194058,0.000000000
14.400000000,342.715808307,280.178799295,0.000000000
14.600000000,343.042686778,282.679404531,0.000000000
14.800000000,343.369565250,285.180009768,0.000000000
15.000000000,343.696443721,287.680615005,0.000000000
15.200000000,344.023322192,290.181220241,0.000000000
15.400000000,344.350200664,292.681825478,0.000000000
15.600000000,344.677079135,295.182430715,0.000000000
15.800000000,345.003957607,297.683035951,0.000000000
16.000000000,345.330836078,300.183641188,0.000000000
16.200000000,345.657714550,302.684246424,0.000000000
16.400000000,345.984593021,305.184851661,0.000000000
16.600000000,346.311471493,307.685456898,0.000000000
16.800000000,346.638349964,310.186062134,0.000000000
17.000000000,346.965228436,312.686667371,0.000000000
17.200000000,347.292106907,315.187272607,0.000000000
17.400000000,347.618985379,317.687877844,0.000000000
17.600000000,347.945863850,320.188483081,0.000000000
17.800000000,348.272742322,322.689088317,0.000000000
18.000000000,348.599620793,325.189693554,0.000000000
18.200000000,348.926499265,327.690298791,0.000000000
18.400000000,349.253377736,330.190904027,0.000000000
18.600000000,349.580256208,332.691509264,0.000000000
18.800000000,349.907134679,335.192114500,0.000000000
19.000000000,350.234013151,337.692719737,0.000000000
19.200000000,350.560891622,340.193324974,0.000000000
19.400000000,350.887770094,342.693930210,0.000000000
19.600000000,351.214648565,345.194535447,0.000000000
