Concurrency: 100 | Throughput: 3120.177327 | median: 31.012284 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001076976s | size: 187014 | mean: 32.060164 | min: 18.964375 | max: 439.408855
Concurrency: 200 | Throughput: 4469.279057 | median: 43.236152 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001399905s | size: 267764 | mean: 44.748748 | min: 19.211400 | max: 501.049986
Concurrency: 200 | Throughput: 4410.500034 | median: 43.654579 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000453003s | size: 264232 | mean: 45.362145 | min: 19.473927 | max: 763.461389
Concurrency: 200 | Throughput: 4427.958923 | median: 43.328760 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004621687s | size: 265298 | mean: 45.186502 | min: 19.521324 | max: 801.901381
Concurrency: 200 | Throughput: 4476.912596 | median: 43.261219 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00161813s | size: 268222 | mean: 44.685653 | min: 19.538366 | max: 463.610179
Concurrency: 200 | Throughput: 4437.975346 | median: 43.675220 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000333317s | size: 265880 | mean: 45.097528 | min: 19.373602 | max: 469.896349
Concurrency: 300 | Throughput: 5267.823223 | median: 55.133849 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000874488s | size: 315474 | mean: 56.965355 | min: 20.680334 | max: 454.045137
Concurrency: 300 | Throughput: 5275.782946 | median: 54.840268 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000193947s | size: 315948 | mean: 56.884660 | min: 19.281076 | max: 485.333403
Concurrency: 300 | Throughput: 5265.651979 | median: 54.798865 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000357267s | size: 315341 | mean: 56.992431 | min: 20.241144 | max: 530.134601
Concurrency: 300 | Throughput: 5235.615148 | median: 55.789189 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002500395s | size: 313550 | mean: 57.317084 | min: 20.478299 | max: 256.091624
