Concurrency: 10 | Throughput: 1106.678192 | median: 8.252862 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003893181s | size: 66385 | mean: 9.033544 | min: 6.513027 | max: 72.987935
Concurrency: 10 | Throughput: 1072.865118 | median: 8.442729 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003814938s | size: 64356 | mean: 9.318325 | min: 6.513091 | max: 86.232978
Concurrency: 10 | Throughput: 967.001384 | median: 9.098316 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004050639s | size: 58011 | mean: 10.334284 | min: 6.558122 | max: 79.667812
Concurrency: 10 | Throughput: 1042.424646 | median: 8.769316 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004337235s | size: 62530 | mean: 9.589888 | min: 6.474543 | max: 67.264643
Concurrency: 10 | Throughput: 1034.810107 | median: 8.779078 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003279406s | size: 62073 | mean: 9.661018 | min: 6.551313 | max: 70.838273
Concurrency: 20 | Throughput: 1766.440182 | median: 10.343487 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001465697s | size: 105950 | mean: 11.318862 | min: 6.543945 | max: 83.536646
Concurrency: 20 | Throughput: 1819.419408 | median: 10.161136 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00760436s | size: 109142 | mean: 10.988675 | min: 6.624512 | max: 72.653300
Concurrency: 20 | Throughput: 1789.055876 | median: 10.215520 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000361893s | size: 107304 | mean: 11.177276 | min: 6.550710 | max: 77.853277
Concurrency: 20 | Throughput: 1822.904930 | median: 10.091393 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001483441s | size: 109337 | mean: 10.967737 | min: 6.579342 | max: 76.507361
Concurrency: 20 | Throughput: 1856.639719 | median: 10.020745 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002486689s | size: 111364 | mean: 10.768573 | min: 6.548081 | max: 76.745524
Concurrency: 30 | Throughput: 2654.747203 | median: 10.761037 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000816577s | size: 159227 | mean: 11.297640 | min: 6.554407 | max: 88.307979
