Concurrency: 10 | Throughput: 983.290959 | median: 8.999574 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003602671s | size: 58984 | mean: 10.166122 | min: 6.465884 | max: 99.301295
Concurrency: 10 | Throughput: 1107.585172 | median: 8.304817 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00441472s | size: 66440 | mean: 9.026042 | min: 6.460311 | max: 58.438389
Concurrency: 10 | Throughput: 1082.117564 | median: 8.486821 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003646722s | size: 64915 | mean: 9.238504 | min: 6.457482 | max: 85.781791
Concurrency: 10 | Throughput: 1075.047196 | median: 8.360463 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001086674s | size: 64484 | mean: 9.299563 | min: 6.410004 | max: 70.285153
Concurrency: 20 | Throughput: 2063.158793 | median: 8.841223 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003137149s | size: 123756 | mean: 9.692524 | min: 6.399709 | max: 73.298890
Concurrency: 20 | Throughput: 2064.261679 | median: 8.911670 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002567147s | size: 123821 | mean: 9.687360 | min: 6.373193 | max: 70.225657
Concurrency: 20 | Throughput: 2067.301498 | median: 8.932351 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000440248s | size: 123999 | mean: 9.672278 | min: 6.429933 | max: 77.405418
Concurrency: 20 | Throughput: 2049.328296 | median: 8.940673 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004051192s | size: 122928 | mean: 9.757206 | min: 6.427373 | max: 69.357109
Concurrency: 20 | Throughput: 2024.398564 | median: 9.029558 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000536536s | size: 121425 | mean: 9.877676 | min: 6.453163 | max: 74.143623
Concurrency: 30 | Throughput: 2683.126965 | median: 10.249937 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000515115s | size: 160930 | mean: 11.178419 | min: 6.408553 | max: 85.912865
Concurrency: 30 | Throughput: 2713.049224 | median: 10.297108 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001122934s | size: 162726 | mean: 11.054575 | min: 6.447052 | max: 84.044896
Concurrency: 30 | Throughput: 2726.921319 | median: 10.154746 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001731205s | size: 163560 | mean: 10.998917 | min: 6.368906 | max: 71.309328
Concurrency: 30 | Throughput: 2752.751851 | median: 10.067367 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00104948s | size: 165108 | mean: 10.895727 | min: 6.399833 | max: 78.457134
Concurrency: 30 | Throughput: 2780.788759 | median: 10.000234 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000242537s | size: 166787 | mean: 10.786407 | min: 6.460138 | max: 80.965207
Concurrency: 60 | Throughput: 3701.356341 | median: 15.036417 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000437547s | size: 221963 | mean: 16.209035 | min: 6.557534 | max: 107.347202
Concurrency: 60 | Throughput: 3717.059647 | median: 14.949970 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001458462s | size: 222910 | mean: 16.140206 | min: 6.576282 | max: 110.736288
Concurrency: 60 | Throughput: 3770.372864 | median: 14.862469 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002288412s | size: 226111 | mean: 15.912638 | min: 6.543749 | max: 98.513830
Concurrency: 60 | Throughput: 3762.343364 | median: 14.885236 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001966378s | size: 225628 | mean: 15.947233 | min: 6.571371 | max: 96.057832
Concurrency: 60 | Throughput: 3853.882321 | median: 14.512795 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002610539s | size: 231124 | mean: 15.566482 | min: 6.467193 | max: 88.592919
Concurrency: 80 | Throughput: 4221.256931 | median: 17.741818 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002270445s | size: 253125 | mean: 18.946755 | min: 6.523941 | max: 112.700938
Concurrency: 80 | Throughput: 4223.956808 | median: 17.609781 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003217717s | size: 253297 | mean: 18.934166 | min: 6.586291 | max: 141.504932
Concurrency: 80 | Throughput: 4117.937782 | median: 18.016082 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001149388s | size: 246921 | mean: 19.419924 | min: 6.604414 | max: 130.572167
Concurrency: 80 | Throughput: 3960.581352 | median: 18.912892 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000534999s | size: 237487 | mean: 20.198243 | min: 6.578679 | max: 131.507704
Concurrency: 80 | Throughput: 4090.090435 | median: 18.312796 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001362788s | size: 245252 | mean: 19.549965 | min: 6.583475 | max: 113.656107
Concurrency: 100 | Throughput: 4258.056727 | median: 21.910688 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000140054s | size: 255284 | mean: 23.480467 | min: 6.701616 | max: 122.505825
Concurrency: 100 | Throughput: 4243.379909 | median: 21.996558 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003347682s | size: 254417 | mean: 23.562818 | min: 6.633863 | max: 124.527006
Concurrency: 100 | Throughput: 4365.021816 | median: 21.371145 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002678346s | size: 261713 | mean: 22.894545 | min: 6.634108 | max: 134.953892
Concurrency: 100 | Throughput: 4289.576823 | median: 21.856241 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00615226s | size: 257200 | mean: 23.310758 | min: 6.641597 | max: 124.817711
Concurrency: 100 | Throughput: 4353.495004 | median: 21.576786 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004662872s | size: 261030 | mean: 22.959562 | min: 6.712949 | max: 152.359633
Concurrency: 200 | Throughput: 5026.566182 | median: 37.701205 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003188873s | size: 301209 | mean: 39.785773 | min: 6.802620 | max: 163.573624
Concurrency: 200 | Throughput: 4937.055237 | median: 38.521200 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002366952s | size: 295835 | mean: 40.498900 | min: 6.724817 | max: 185.546560
Concurrency: 200 | Throughput: 5009.469246 | median: 37.800181 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005558524s | size: 300196 | mean: 39.894720 | min: 6.988489 | max: 196.652715
Concurrency: 200 | Throughput: 4969.774829 | median: 38.068083 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003724563s | size: 297805 | mean: 40.232648 | min: 6.767248 | max: 191.846660
Concurrency: 200 | Throughput: 4994.302177 | median: 37.740572 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.010385717s | size: 299316 | mean: 40.046455 | min: 6.462553 | max: 209.962216
Concurrency: 300 | Throughput: 5384.262611 | median: 53.231944 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001345275s | size: 322463 | mean: 55.706720 | min: 6.731632 | max: 217.210036
Concurrency: 300 | Throughput: 5448.673843 | median: 52.470864 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001756287s | size: 326330 | mean: 55.035034 | min: 6.780737 | max: 241.957684
Concurrency: 300 | Throughput: 5397.933391 | median: 53.212518 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005557041s | size: 323306 | mean: 55.556148 | min: 6.778339 | max: 243.711316
Concurrency: 300 | Throughput: 5503.826029 | median: 52.269443 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004258539s | size: 329654 | mean: 54.490970 | min: 7.049147 | max: 211.108487
