Concurrency: 10 | Throughput: 772.220303 | median: 8.835695 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006192309s | size: 46319 | mean: 12.949356 | min: 6.509151 | max: 12399.685041
Concurrency: 10 | Throughput: 625.581299 | median: 8.358217 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001793597s | size: 37517 | mean: 15.987273 | min: 6.480677 | max: 13598.701383
Concurrency: 10 | Throughput: 473.735376 | median: 8.614702 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.378147933s | size: 29058 | mean: 19.077025 | min: 6.450413 | max: 13798.178074
Concurrency: 10 | Throughput: 716.742147 | median: 8.599767 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.190404824s | size: 43121 | mean: 11.763086 | min: 6.423244 | max: 10496.794403
Concurrency: 10 | Throughput: 848.965960 | median: 8.186915 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001227878s | size: 50919 | mean: 11.779076 | min: 6.410992 | max: 6225.738061
Concurrency: 10 | Throughput: 355.756942 | median: 8.500735 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m5.957953958s | size: 23445 | mean: 23.383369 | min: 6.516681 | max: 12642.499021
Concurrency: 10 | Throughput: 563.446420 | median: 8.108830 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m3.679524278s | size: 35860 | mean: 11.035654 | min: 6.452092 | max: 26765.738918
Concurrency: 10 | Throughput: 953.202285 | median: 8.259075 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.97215528s | size: 59052 | mean: 9.938565 | min: 6.483906 | max: 6298.181181
Concurrency: 10 | Throughput: 342.889418 | median: 8.648164 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.570870659s | size: 21092 | mean: 26.429513 | min: 6.471441 | max: 13758.511300
Concurrency: 10 | Throughput: 877.231199 | median: 8.244797 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003565825s | size: 52618 | mean: 11.399376 | min: 6.455715 | max: 6262.839566
Concurrency: 20 | Throughput: 1071.878950 | median: 9.097111 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001178329s | size: 64274 | mean: 18.665144 | min: 6.441276 | max: 13692.953256
Concurrency: 20 | Throughput: 1039.640952 | median: 8.891145 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002445898s | size: 62342 | mean: 19.241979 | min: 6.438283 | max: 24446.695593
Concurrency: 20 | Throughput: 959.069308 | median: 8.819583 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.239650589s | size: 57735 | mean: 17.241245 | min: 6.439847 | max: 11619.360485
Concurrency: 20 | Throughput: 1009.423201 | median: 8.898509 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005555603s | size: 60530 | mean: 19.818272 | min: 6.420047 | max: 13821.761763
Concurrency: 20 | Throughput: 1229.076932 | median: 10.046424 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000312488s | size: 73705 | mean: 16.272471 | min: 6.424166 | max: 6710.098980
