Concurrency: 100 | Throughput: 1612.054685 | median: 28.417753 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001066276s | size: 96525 | mean: 62.118858 | min: 7.552472 | max: 12966.509361
Concurrency: 200 | Throughput: 2390.653381 | median: 65.184555 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005771272s | size: 143054 | mean: 83.741798 | min: 6.828731 | max: 5107.869371
Concurrency: 200 | Throughput: 2477.983016 | median: 57.080226 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.010500083s | size: 148305 | mean: 80.778953 | min: 6.804439 | max: 6371.021695
Concurrency: 200 | Throughput: 3191.513450 | median: 52.422764 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002567129s | size: 191099 | mean: 62.671968 | min: 6.808572 | max: 4154.260439
Concurrency: 200 | Throughput: 2764.659282 | median: 52.380417 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000521979s | size: 165481 | mean: 72.449459 | min: 6.906873 | max: 6364.086314
Concurrency: 200 | Throughput: 2374.272190 | median: 52.589097 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001966335s | size: 142061 | mean: 84.363349 | min: 7.098452 | max: 6971.671631

Concurrency: 300 | Throughput: 2598.749163 | median: 84.523442 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001558529s | size: 155329 | mean: 115.626933 | min: 6.976994 | max: 6067.887919
Concurrency: 300 | Throughput: 2377.031363 | median: 84.912243 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.781263082s | size: 146256 | mean: 115.380246 | min: 7.363385 | max: 5919.266178
Concurrency: 300 | Throughput: 3630.953218 | median: 78.741212 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000497649s | size: 217260 | mean: 82.712848 | min: 6.947513 | max: 438.511490
Concurrency: 300 | Throughput: 2320.133495 | median: 71.370811 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.487841229s | size: 142060 | mean: 101.725287 | min: 6.887856 | max: 13326.254929
Concurrency: 600 | Throughput: 1483.708922 | median: 169.769376 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m6.753659388s | size: 97843 | mean: 243.281733 | min: 7.837923 | max: 27051.182909
Concurrency: 600 | Throughput: 2204.806277 | median: 165.458682 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002096945s | size: 131093 | mean: 273.695522 | min: 7.200613 | max: 16920.863747
Concurrency: 600 | Throughput: 2819.286764 | median: 185.956392 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006311577s | size: 167975 | mean: 213.720159 | min: 7.582569 | max: 5757.499595
Concurrency: 600 | Throughput: 1967.211244 | median: 163.160457 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001182054s | size: 116835 | mean: 307.209344 | min: 7.990591 | max: 26074.177219

Concurrency: 800 | Throughput: 2949.974766 | median: 235.044325 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000852231s | size: 175856 | mean: 271.738041 | min: 0.062367 | max: 5689.736263
Concurrency: 800 | Throughput: 2746.527093 | median: 220.750095 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005597773s | size: 163965 | mean: 291.690671 | min: 9.771641 | max: 6508.279397
Concurrency: 800 | Throughput: 2760.903397 | median: 222.354397 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.007170186s | size: 164102 | mean: 291.672485 | min: 24.000600 | max: 7933.410642
Concurrency: 800 | Throughput: 2981.284856 | median: 250.189365 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001311064s | size: 177281 | mean: 269.525584 | min: 0.064109 | max: 775.344345
Concurrency: 800 | Throughput: 2160.999010 | median: 213.870202 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.021776695s | size: 128865 | mean: 370.871743 | min: 13.398059 | max: 11878.962098
Concurrency: 1000 | Throughput: 2733.717522 | median: 296.432566 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001078635s | size: 162030 | mean: 368.890174 | min: 0.054149 | max: 9004.470829
Concurrency: 1000 | Throughput: 2954.508778 | median: 260.529296 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m8.14669211s | size: 199342 | mean: 277.190005 | min: 0.061553 | max: 12864.584990
Concurrency: 1000 | Throughput: 3091.104565 | median: 273.615313 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.046820187s | size: 183643 | mean: 324.768271 | min: 0.054020 | max: 9472.497924
Concurrency: 1000 | Throughput: 2165.314954 | median: 298.679093 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001432947s | size: 127931 | mean: 467.168533 | min: 0.055191 | max: 15852.204997
Concurrency: 1000 | Throughput: 2564.157811 | median: 255.648180 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m6.724442326s | size: 169092 | mean: 319.146203 | min: 0.062122 | max: 12789.551309
