time_s,x_m,y_m,z_m
0.000000000,979.746906534,571.752644729,0.000000000
0.200000000,976.632715930,569.242302745,0.000000000
0.400000000,973.518525326,566.731960760,0.000000000
0.600000000,970.404334722,564.221618775,0.000000000
0.800000000,967.290144117,561.711276790,0.000000000
1.000000000,964.175953513,559.200934805,0.000000000
1.200000000,961.061762909,556.690592820,0.000000000
1.400000000,957.947572305,554.180250835,0.000000000
1.600000000,954.833381701,551.669908850,0.000000000
1.800000000,951.719191097,549.159566866,0.000000000
2.000000000,948.605000493,546.649224881,0.000000000
2.200000000,945.490809888,544.138882896,0.000000000
2.400000000,942.376619284,541.628540911,0.000000000
2.600000000,939.262428680,539.118198926,0.000000000
2.800000000,936.148238076,536.607856941,0.000000000
3.000000000,933.034047472,534.097514956,0.000000000
3.200000000,929.919856868,531.587172971,0.000000000
3.400000000,926.805666263,529.076830987,0.000000000
3.600000000,923.691475659,526.566489002,0.000000000
3.800000000,920.577285055,524.056147017,0.000000000
4.000000000,917.463094451,521.545805032,0.000000000
4.200000000,914.348903847,519.035463047,0.000000000
4.400000000,911.234713243,516.525121062,0.000000000
4.600000000,908.120522639,514.014779077,0.000000000
4.800000000,905.006332034,511.504437093,0.000000000
5.000000000,901.892141430,508.994095108,0.000000000
5.200000000,898.777950826,506.483753123,0.000000000
5.400000000,895.663760222,503.973411138,0.000000000
5.600000000,892.549569618,501.463069153,0.000000000
5.800000000,889.435379014,498.952727168,0.000000000
6.000000000,886.321188409,496.442385183,0.000000000
6.200000000,883.206997805,493.932043198,0.000000000
6.400000000,880.092807201,491.421701214,0.000000000
6.600000000,876.978616597,488.911359229,0.000000000
6.800000000,873.864425993,486.401017244,0.000000000
7.000000000,870.750235389,483.890675259,0.000000000
7.200000000,867.636044785,481.380333274,0.000000000
7.400000000,864.521854180,478.869991289,0.000000000
7.600000000,861.407663576,476.359649304,0.000000000
7.800000000,858.293472972,473.849307319,0.000000000
8.000000000,855.179282368,471.338965335,0.000000000
8.200000000,852.065091764,468.828623350,0.000000000
8.400000000,848.950901160,466.318281365,0.000000000
8.600000000,845.836710555,463.807939380,0.000000000
8.800000000,842.722519951,461.297597395,0.000000000
9.000000000,839.608329347,458.787255410,0.000000000
9.200000000,836.494138743,456.276913425,0.000000000
9.400000000,833.379948139,453.766571440,0.000000000
9.600000000,830.265757535,451.256229456,0.000000000
9.800000000,827.151566931,448.745887471,0.000000000
10.000000000,824.037376326,446.235545486,0.000000000
10.200000000,820.923185722,443.725203501,0.000000000
10.400000000,817.808995118,441.214861516,0.000000000
10.600000000,814.694804514,438.704519531,0.000000000
10.800000000,811.580613910,436.194177546,0.000000000
11.000000000,808.466423306,433.683835562,0.000000000
11.200000000,805.352232701,431.173493577,0.000000000
11.400000000,802.238042097,428.663151592,0.000000000
11.600000000,799.123851493,426.152809607,0.000000000
11.800000000,796.009660889,423.642467622,0.000000000
12.000000000,792.895470285,421.132125637,0.000000000
12.200000000,789.781279681,418.621783652,0.000000000
12.400000000,786.667089077,416.111441667,0.000000000
12.600000000,783.552898472,413.601099683,0.000000000
12.800000000,780.438707868,411.090757698,0.000000000
13.000000000,777.324517264,408.580415713,0.000000000
13.200000000,774.210326660,406.070073728,0.000000000
13.400000000,771.096136056,403.559731743,0.000000000
13.600000000,767.981945452,401.049389758,0.000000000
13.800000000,764.867754848,398.539047773,0.000000000
14.000000000,761.753564243,396.028705788,0.000000000
14.200000000,758.639373639,393.518363804,0.000000000
14.400000000,755.525183035,391.008021819,0.000000000
14.600000000,752.410992431,388.497679834,0.000000000
14.800000000,749.296801827,385.987337849,0.000000000
15.000000000,746.182611223,383.476995864,0.000000000
15.200000000,743.068420618,380.966653879,0.000000000
15.400000000,739.954230014,378.456311894,0.000000000
15.600000000,736.840039410,375.945969909,0.000000000
