time_s,x_m,y_m,z_m
0.000000000,767.132533099,1000.000000000,0.000000000
0.200000000,767.097198629,999.580335848,0.000000000
0.400000000,767.061864160,999.160671695,0.000000000
0.600000000,767.026529691,998.741007543,0.000000000
0.800000000,766.991195221,998.321343390,0.000000000
1.000000000,766.955860752,997.901679238,0.000000000
1.200000000,766.920526282,997.482015085,0.000000000
1.400000000,766.885191813,997.062350933,0.000000000
1.600000000,766.849857343,996.642686781,0.000000000
1.800000000,766.814522874,996.223022628,0.000000000
2.000000000,766.779188404,995.803358476,0.000000000
2.200000000,766.743853935,995.383694323,0.000000000
2.400000000,766.708519465,994.964030171,0.000000000
2.600000000,766.673184996,994.544366019,0.000000000
2.800000000,766.637850527,994.124701866,0.000000000
3.000000000,766.602516057,993.705037714,0.000000000
3.200000000,766.567181588,993.285373561,0.000000000
3.400000000,766.531847118,992.865709409,0.000000000
3.600000000,766.496512649,992.446045256,0.000000000
3.800000000,766.461178179,992.026381104,0.000000000
4.000000000,766.425843710,991.606716952,0.000000000
4.200000000,766.390509240,991.187052799,0.000000000
4.400000000,766.355174771,990.767388647,0.000000000
4.600000000,766.319840301,990.347724494,0.000000000
4.800000000,766.284505832,989.928060342,0.000000000
5.000000000,766.249171363,989.508396190,0.000000000
5.200000000,766.213836893,989.088732037,0.000000000
5.400000000,766.178502424,988.669067885,0.000000000
5.600000000,766.143167954,988.249403732,0.000000000
5.800000000,766.107833485,987.829739580,0.000000000
6.000000000,766.072499015,987.410075427,0.000000000
6.200000000,766.037164546,986.990411275,0.000000000
6.400000000,766.001830076,986.570747123,0.000000000
6.600000000,765.966495607,986.151082970,0.000000000
6.800000000,765.931161137,985.731418818,0.000000000
7.000000000,765.895826668,985.311754665,0.000000000
7.200000000,765.860492199,984.892090513,0.000000000
7.400000000,765.825157729,984.472426360,0.000000000
7.600000000,765.789823260,984.052762208,0.000000000
7.800000000,765.754488790,983.633098056,0.000000000
8.000000000,765.719154321,983.213433903,0.000000000
8.200000000,765.683819851,982.793769751,0.000000000
8.400000000,765.648485382,982.374105598,0.000000000
8.600000000,765.613150912,981.954441446,0.000000000
8.800000000,765.577816443,981.534777294,0.000000000
9.000000000,765.542481974,981.115113141,0.000000000
9.200000000,765.507147504,980.695448989,0.000000000
9.400000000,765.471813035,980.275784836,0.000000000
9.600000000,765.436478565,979.856120684,0.000000000
9.800000000,765.401144096,979.436456531,0.000000000
10.000000000,765.365809626,979.016792379,0.000000000
10.200000000,765.330475157,978.597128227,0.000000000
10.400000000,765.295140687,978.177464074,0.000000000
10.600000000,765.259806218,977.757799922,0.000000000
10.800000000,765.224471748,977.338135769,0.000000000
11.000000000,765.189137279,976.918471617,0.000000000
11.200000000,765.153802810,976.498807464,0.000000000
11.400000000,765.118468340,976.079143312,0.000000000
11.600000000,765.083133871,975.659479160,0.000000000
11.800000000,765.047799401,975.239815007,0.000000000
12.000000000,765.012464932,974.820150855,0.000000000
12.200000000,764.977130462,974.400486702,0.000000000
12.400000000,764.941795993,973.980822550,0.000000000
