time_s,x_m,y_m,z_m
0.000000000,150.303120266,807.522641253,0.000000000
0.200000000,150.374922932,807.548912602,0.000000000
0.400000000,150.446725597,807.575183951,0.000000000
0.600000000,150.518528263,807.601455299,0.000000000
0.800000000,150.590330929,807.627726648,0.000000000
1.000000000,150.662133595,807.653997996,0.000000000
1.200000000,150.733936261,807.680269345,0.000000000
1.400000000,150.805738926,807.706540693,0.000000000
1.600000000,150.877541592,807.732812042,0.000000000
1.800000000,150.949344258,807.759083390,0.000000000
2.000000000,151.021146924,807.785354739,0.000000000
2.200000000,151.092949590,807.811626088,0.000000000
2.400000000,151.164752255,807.837897436,0.000000000
2.600000000,151.236554921,807.864168785,0.000000000
2.800000000,151.308357587,807.890440133,0.000000000
3.000000000,151.380160253,807.916711482,0.000000000
3.200000000,151.451962919,807.942982830,0.000000000
3.400000000,151.523765584,807.969254179,0.000000000
3.600000000,151.595568250,807.995525527,0.000000000
3.800000000,151.667370916,808.021796876,0.000000000
4.000000000,151.739173582,808.048068224,0.000000000
4.200000000,151.810976248,808.074339573,0.000000000
4.400000000,151.882778913,808.100610922,0.000000000
4.600000000,151.954581579,808.126882270,0.000000000
4.800000000,152.026384245,808.153153619,0.000000000
5.000000000,152.098186911,808.179424967,0.000000000
5.200000000,152.169989577,808.205696316,0.000000000
5.400000000,152.241792242,808.231967664,0.000000000
5.600000000,152.313594908,808.258239013,0.000000000
5.800000000,152.385397574,808.284510361,0.000000000
6.000000000,152.457200240,808.310781710,0.000000000
6.200000000,152.529002906,808.337053058,0.000000000
6.400000000,152.600805571,808.363324407,0.000000000
6.600000000,152.672608237,808.389595756,0.000000000
6.800000000,152.744410903,808.415867104,0.000000000
7.000000000,152.816213569,808.442138453,0.000000000
7.200000000,152.888016235,808.468409801,0.000000000
7.400000000,152.959818901,808.494681150,0.000000000
7.600000000,153.031621566,808.520952498,0.000000000
7.800000000,153.103424232,808.547223847,0.000000000
8.000000000,153.175226898,808.573495195,0.000000000
8.200000000,153.247029564,808.599766544,0.000000000
8.400000000,153.318832230,808.626037893,0.000000000
8.600000000,153.390634895,808.652309241,0.000000000
8.800000000,153.462437561,808.678580590,0.000000000
9.000000000,153.534240227,808.704851938,0.000000000
9.200000000,153.606042893,808.731123287,0.000000000
9.400000000,153.677845559,808.757394635,0.000000000
9.600000000,153.749648224,808.783665984,0.000000000
9.800000000,153.821450890,808.809937332,0.000000000
10.000000000,153.893253556,808.836208681,0.000000000
10.200000000,153.965056222,808.862480029,0.000000000
10.400000000,154.036858888,808.888751378,0.000000000
10.600000000,154.108661553,808.915022727,0.000000000
10.800000000,154.180464219,808.941294075,0.000000000
11.000000000,154.252266885,808.967565424,0.000000000
11.200000000,154.324069551,808.993836772,0.000000000
11.400000000,154.395872217,809.020108121,0.000000000
11.600000000,154.467674882,809.046379469,0.000000000
11.800000000,154.539477548,809.072650818,0.000000000
12.000000000,154.611280214,809.098922166,0.000000000
12.200000000,154.683082880,809.125193515,0.000000000
12.400000000,154.754885546,809.151464863,0.000000000
12.600000000,154.826688211,809.177736212,0.000000000
12.800000000,154.898490877,809.204007561,0.000000000
13.000000000,154.970293543,809.230278909,0.000000000
13.200000000,155.042096209,809.256550258,0.000000000
13.400000000,155.113898875,809.282821606,0.000000000
13.600000000,155.124082669,809.282514103,0.000000000
13.800000000,155.072647591,809.255627748,0.000000000
14.000000000,155.021212514,809.228741393,0.000000000
14.200000000,154.969777436,809.201855038,0.000000000
14.400000000,154.918342359,809.174968682,0.000000000
14.600000000,154.866907281,809.148082327,0.000000000
14.800000000,154.815472204,809.121195972,0.000000000
15.000000000,154.764037127,809.094309617,0.000000000
15.200000000,154.712602049,809.067423262,0.000000000
15.400000000,154.661166972,809.040536907,0.000000000
15.600000000,154.609731894,809.013650551,0.000000000
15.800000000,154.558296817,808.986764196,0.000000000
16.000000000,154.506861739,808.959877841,0.000000000
16.200000000,154.455426662,808.932991486,0.000000000
16.400000000,154.403991584,808.906105131,0.000000000
16.600000000,154.352556507,808.879218776,0.000000000
16.800000000,154.301121429,808.852332421,0.000000000
17.000000000,154.249686352,808.825446065,0.000000000
17.200000000,154.198251274,808.798559710,0.000000000
17.400000000,154.146816197,808.771673355,0.000000000
17.600000000,154.095381119,808.744787000,0.000000000
17.800000000,154.043946042,808.717900645,0.000000000
18.000000000,153.992510965,808.691014290,0.000000000
18.200000000,153.941075887,808.664127935,0.000000000
18.400000000,153.889640810,808.637241579,0.000000000
18.600000000,153.838205732,808.610355224,0.000000000
18.800000000,153.786770655,808.583468869,0.000000000
19.000000000,153.735335577,808.556582514,0.000000000
19.200000000,153.683900500,808.529696159,0.000000000
19.400000000,153.632465422,808.502809804,0.000000000
19.600000000,153.581030345,808.475923449,0.000000000
19.800000000,153.529595267,808.449037093,0.000000000
20.000000000,153.478160190,808.422150738,0.000000000
20.200000000,153.426725112,808.395264383,0.000000000
20.400000000,153.375290035,808.368378028,0.000000000
20.600000000,153.323854957,808.341491673,0.000000000
20.800000000,153.272419880,808.314605318,0.000000000
21.000000000,153.220984803,808.287718963,0.000000000
21.200000000,153.169549725,808.260832607,0.000000000
21.400000000,153.118114648,808.233946252,0.000000000
21.600000000,153.066679570,808.207059897,0.000000000
21.800000000,153.015244493,808.180173542,0.000000000
22.000000000,152.963809415,808.153287187,0.000000000
22.200000000,152.912374338,808.126400832,0.000000000
22.400000000,152.860939260,808.099514477,0.000000000
22.600000000,152.809504183,808.072628121,0.000000000
22.800000000,152.758069105,808.045741766,0.000000000
23.000000000,152.706634028,808.018855411,0.000000000
23.200000000,152.655198950,807.991969056,0.000000000
23.400000000,152.603763873,807.965082701,0.000000000
23.600000000,152.552328796,807.938196346,0.000000000
23.800000000,152.500893718,807.911309991,0.000000000
24.000000000,152.449458641,807.884423635,0.000000000
24.200000000,152.398023563,807.857537280,0.000000000
24.400000000,152.346588486,807.830650925,0.000000000
24.600000000,152.295153408,807.803764570,0.000000000
24.800000000,152.243718331,807.776878215,0.000000000
25.000000000,152.192283253,807.749991860,0.000000000
25.200000000,152.140848176,807.723105504,0.000000000
25.400000000,152.089413098,807.696219149,0.000000000
25.600000000,152.037978021,807.669332794,0.000000000
25.800000000,151.986542943,807.642446439,0.000000000
26.000000000,151.935107866,807.615560084,0.000000000
26.200000000,151.883672788,807.588673729,0.000000000
26.400000000,151.832237711,807.561787374,0.000000000
