time_s,x_m,y_m,z_m
0.000000000,91.883231656,974.172594988,0.000000000
0.200000000,92.054639512,974.187887178,0.000000000
0.400000000,92.226047367,974.203179368,0.000000000
0.600000000,92.397455222,974.218471558,0.000000000
0.800000000,92.568863077,974.233763748,0.000000000
1.000000000,92.740270933,974.249055937,0.000000000
1.200000000,92.911678788,974.264348127,0.000000000
1.400000000,93.083086643,974.279640317,0.000000000
1.600000000,93.254494498,974.294932507,0.000000000
1.800000000,93.425902354,974.310224697,0.000000000
2.000000000,93.597310209,974.325516887,0.000000000
2.200000000,93.768718064,974.340809077,0.000000000
2.400000000,93.940125920,974.356101267,0.000000000
2.600000000,94.111533775,974.371393457,0.000000000
2.800000000,94.282941630,974.386685647,0.000000000
3.000000000,94.454349485,974.401977837,0.000000000
3.200000000,94.625757341,974.417270027,0.000000000
3.400000000,94.797165196,974.432562217,0.000000000
3.600000000,94.968573051,974.447854407,0.000000000
3.800000000,95.139980907,974.463146597,0.000000000
4.000000000,95.311388762,974.478438787,0.000000000
4.200000000,95.482796617,974.493730977,0.000000000
4.400000000,95.654204472,974.509023167,0.000000000
4.600000000,95.825612328,974.524315357,0.000000000
4.800000000,95.997020183,974.539607547,0.000000000
5.000000000,96.168428038,974.554899737,0.000000000
5.200000000,96.339835894,974.570191926,0.000000000
5.400000000,96.511243749,974.585484116,0.000000000
5.600000000,96.682651604,974.600776306,0.000000000
5.800000000,96.854059459,974.616068496,0.000000000
6.000000000,97.025467315,974.631360686,0.000000000
6.200000000,97.196875170,974.646652876,0.000000000
6.400000000,97.368283025,974.661945066,0.000000000
6.600000000,97.539690880,974.677237256,0.000000000
6.800000000,97.711098736,974.692529446,0.000000000
7.000000000,97.882506591,974.707821636,0.000000000
7.200000000,98.053914446,974.723113826,0.000000000
7.400000000,98.225322302,974.738406016,0.000000000
7.600000000,98.396730157,974.753698206,0.000000000
7.800000000,98.568138012,974.768990396,0.000000000
8.000000000,98.739545867,974.784282586,0.000000000
8.200000000,98.910953723,974.799574776,0.000000000
8.400000000,99.082361578,974.814866966,0.000000000
8.600000000,99.253769433,974.830159156,0.000000000
8.800000000,99.425177289,974.845451346,0.000000000
9.000000000,99.596585144,974.860743536,0.000000000
9.200000000,99.767992999,974.876035726,0.000000000
9.400000000,99.939400854,974.891327915,0.000000000
9.600000000,100.110808710,974.906620105,0.000000000
9.800000000,100.282216565,974.921912295,0.000000000
10.000000000,100.453624420,974.937204485,0.000000000
10.200000000,100.625032276,974.952496675,0.000000000
10.400000000,100.796440131,974.967788865,0.000000000
10.600000000,100.967847986,974.983081055,0.000000000
10.800000000,101.139255841,974.998373245,0.000000000
11.000000000,101.310663697,975.013665435,0.000000000
11.200000000,101.482071552,975.028957625,0.000000000
11.400000000,101.653479407,975.044249815,0.000000000
11.600000000,101.824887262,975.059542005,0.000000000
11.800000000,101.996295118,975.074834195,0.000000000
12.000000000,102.167702973,975.090126385,0.000000000
12.200000000,102.339110828,975.105418575,0.000000000
12.400000000,102.510518684,975.120710765,0.000000000
12.600000000,102.681926539,975.136002955,0.000000000
12.800000000,102.853334394,975.151295145,0.000000000
13.000000000,103.024742249,975.166587335,0.000000000
13.200000000,103.196150105,975.181879525,0.000000000
13.400000000,103.367557960,975.197171715,0.000000000
13.600000000,103.708201566,975.214657388,0.000000000
13.800000000,104.218080923,975.234336545,0.000000000
14.000000000,104.727960279,975.254015702,0.000000000
14.200000000,105.237839636,975.273694859,0.000000000
14.400000000,105.747718993,975.293374016,0.000000000
14.600000000,106.257598349,975.313053173,0.000000000
14.800000000,106.767477706,975.332732330,0.000000000
15.000000000,107.277357063,975.352411486,0.000000000
15.200000000,107.787236419,975.372090643,0.000000000
15.400000000,108.297115776,975.391769800,0.000000000
15.600000000,108.806995133,975.411448957,0.000000000
15.800000000,109.316874489,975.431128114,0.000000000
16.000000000,109.826753846,975.450807271,0.000000000
16.200000000,110.336633203,975.470486428,0.000000000
16.400000000,110.846512560,975.490165585,0.000000000
16.600000000,111.356391916,975.509844742,0.000000000
16.800000000,111.866271273,975.529523899,0.000000000
17.000000000,112.376150630,975.549203056,0.000000000
17.200000000,112.886029986,975.568882213,0.000000000
17.400000000,113.395909343,975.588561369,0.000000000
17.600000000,113.905788700,975.608240526,0.000000000
17.800000000,114.415668056,975.627919683,0.000000000
