time_s,x_m,y_m,z_m
0.000000000,287.239945971,263.526355743,0.000000000
0.200000000,290.134684588,266.286878943,0.000000000
0.400000000,293.029423206,269.047402142,0.000000000
0.600000000,295.924161823,271.807925342,0.000000000
0.800000000,298.818900441,274.568448542,0.000000000
1.000000000,301.713639058,277.328971742,0.000000000
1.200000000,304.608377676,280.089494942,0.000000000
1.400000000,307.503116293,282.850018141,0.000000000
1.600000000,310.397854911,285.610541341,0.000000000
1.800000000,313.292593528,288.371064541,0.000000000
2.000000000,316.187332146,291.131587741,0.000000000
2.200000000,319.082070763,293.892110941,0.000000000
2.400000000,321.976809380,296.652634140,0.000000000
2.600000000,324.871547998,299.413157340,0.000000000
2.800000000,327.766286615,302.173680540,0.000000000
3.000000000,330.661025233,304.934203740,0.000000000
3.200000000,333.555763850,307.694726940,0.000000000
3.400000000,336.450502468,310.455250139,0.000000000
3.600000000,339.345241085,313.215773339,0.000000000
3.800000000,342.239979703,315.976296539,0.000000000
4.000000000,345.134718320,318.736819739,0.000000000
4.200000000,348.029456938,321.497342938,0.000000000
4.400000000,350.924195555,324.257866138,0.000000000
4.600000000,353.818934173,327.018389338,0.000000000
4.800000000,356.713672790,329.778912538,0.000000000
5.000000000,359.608411407,332.539435738,0.000000000
5.200000000,362.503150025,335.299958937,0.000000000
5.400000000,365.397888642,338.060482137,0.000000000
5.600000000,368.292627260,340.821005337,0.000000000
5.800000000,371.187365877,343.581528537,0.000000000
6.000000000,374.082104495,346.342051737,0.000000000
6.200000000,376.976843112,349.102574936,0.000000000
6.400000000,379.871581730,351.863098136,0.000000000
6.600000000,382.766320347,354.623621336,0.000000000
6.800000000,385.661058965,357.384144536,0.000000000
7.000000000,388.555797582,360.144667736,0.000000000
7.200000000,391.450536200,362.905190935,0.000000000
7.400000000,394.345274817,365.665714135,0.000000000
7.600000000,397.240013434,368.426237335,0.000000000
7.800000000,400.134752052,371.186760535,0.000000000
8.000000000,403.029490669,373.947283734,0.000000000
8.200000000,405.924229287,376.707806934,0.000000000
8.400000000,408.818967904,379.468330134,0.000000000
8.600000000,411.713706522,382.228853334,0.000000000
8.800000000,414.608445139,384.989376534,0.000000000
9.000000000,417.503183757,387.749899733,0.000000000
9.200000000,420.397922374,390.510422933,0.000000000
9.400000000,423.292660992,393.270946133,0.000000000
9.600000000,426.187399609,396.031469333,0.000000000
9.800000000,429.082138227,398.791992533,0.000000000
10.000000000,431.976876844,401.552515732,0.000000000
10.200000000,434.871615461,404.313038932,0.000000000
10.400000000,437.766354079,407.073562132,0.000000000
10.600000000,440.661092696,409.834085332,0.000000000
10.800000000,443.555831314,412.594608532,0.000000000
11.000000000,446.450569931,415.355131731,0.000000000
11.200000000,449.345308549,418.115654931,0.000000000
11.400000000,452.240047166,420.876178131,0.000000000
11.600000000,455.134785784,423.636701331,0.000000000
11.800000000,458.029524401,426.397224530,0.000000000
12.000000000,460.924263019,429.157747730,0.000000000
12.200000000,463.819001636,431.918270930,0.000000000
12.400000000,466.713740253,434.678794130,0.000000000
12.600000000,469.608478871,437.439317330,0.000000000
12.800000000,472.503217488,440.199840529,0.000000000
13.000000000,475.397956106,442.960363729,0.000000000
13.200000000,478.292694723,445.720886929,0.000000000
13.400000000,481.187433341,448.481410129,0.000000000
13.600000000,484.082171958,451.241933329,0.000000000
13.800000000,486.976910576,454.002456528,0.000000000
14.000000000,489.871649193,456.762979728,0.000000000
14.200000000,492.766387811,459.523502928,0.000000000
14.400000000,495.661126428,462.284026128,0.000000000
14.600000000,498.555865046,465.044549328,0.000000000
14.800000000,501.450603663,467.805072527,0.000000000
15.000000000,504.345342280,470.565595727,0.000000000
15.200000000,507.240080898,473.326118927,0.000000000
15.400000000,510.134819515,476.086642127,0.000000000
15.600000000,513.029558133,478.847165327,0.000000000
15.800000000,515.924296750,481.607688526,0.000000000
16.000000000,518.819035368,484.368211726,0.000000000
16.200000000,521.713773985,487.128734926,0.000000000
16.400000000,524.608512603,489.889258126,0.000000000
16.600000000,527.503251220,492.649781325,0.000000000
16.800000000,530.397989838,495.410304525,0.000000000
17.000000000,533.292728455,498.170827725,0.000000000
17.200000000,536.187467073,500.931350925,0.000000000
17.400000000,539.082205690,503.691874125,0.000000000
17.600000000,541.976944307,506.452397324,0.000000000
17.800000000,544.871682925,509.212920524,0.000000000
18.000000000,547.766421542,511.973443724,0.000000000
18.200000000,550.661160160,514.733966924,0.000000000
18.400000000,553.555898777,517.494490124,0.000000000
