time_s,x_m,y_m,z_m
0.000000000,711.450555056,88.505789873,0.000000000
0.200000000,711.342374462,94.901304836,0.000000000
0.400000000,711.234193868,101.296819800,0.000000000
0.600000000,711.126013273,107.692334763,0.000000000
0.800000000,711.017832679,114.087849727,0.000000000
1.000000000,710.909652085,120.483364690,0.000000000
1.200000000,710.801471491,126.878879654,0.000000000
1.400000000,710.693290896,133.274394618,0.000000000
1.600000000,710.585110302,139.669909581,0.000000000
1.800000000,710.476929708,146.065424545,0.000000000
2.000000000,710.368749114,152.460939508,0.000000000
2.200000000,710.260568519,158.856454472,0.000000000
2.400000000,710.152387925,165.251969435,0.000000000
2.600000000,710.044207331,171.647484399,0.000000000
2.800000000,709.936026737,178.042999363,0.000000000
3.000000000,709.827846142,184.438514326,0.000000000
3.200000000,709.719665548,190.834029290,0.000000000
3.400000000,709.611484954,197.229544253,0.000000000
3.600000000,709.503304360,203.625059217,0.000000000
3.800000000,709.395123765,210.020574181,0.000000000
4.000000000,709.286943171,216.416089144,0.000000000
4.200000000,709.178762577,222.811604108,0.000000000
4.400000000,709.070581983,229.207119071,0.000000000
4.600000000,708.962401388,235.602634035,0.000000000
4.800000000,708.854220794,241.998148998,0.000000000
5.000000000,708.746040200,248.393663962,0.000000000
5.200000000,708.637859606,254.789178926,0.000000000
5.400000000,708.529679011,261.184693889,0.000000000
5.600000000,708.421498417,267.580208853,0.000000000
5.800000000,708.313317823,273.975723816,0.000000000
6.000000000,708.205137229,280.371238780,0.000000000
6.200000000,708.096956634,286.766753743,0.000000000
6.400000000,707.988776040,293.162268707,0.000000000
6.600000000,707.880595446,299.557783671,0.000000000
6.800000000,707.772414852,305.953298634,0.000000000
7.000000000,707.664234258,312.348813598,0.000000000
7.200000000,707.556053663,318.744328561,0.000000000
7.400000000,707.447873069,325.139843525,0.000000000
7.600000000,707.339692475,331.535358488,0.000000000
7.800000000,707.231511881,337.930873452,0.000000000
8.000000000,707.123331286,344.326388416,0.000000000
8.200000000,707.015150692,350.721903379,0.000000000
8.400000000,706.906970098,357.117418343,0.000000000
8.600000000,706.798789504,363.512933306,0.000000000
8.800000000,706.690608909,369.908448270,0.000000000
9.000000000,706.582428315,376.303963233,0.000000000
9.200000000,706.474247721,382.699478197,0.000000000
9.400000000,706.366067127,389.094993161,0.000000000
9.600000000,706.257886532,395.490508124,0.000000000
9.800000000,706.149705938,401.886023088,0.000000000
10.000000000,706.041525344,408.281538051,0.000000000
10.200000000,705.933344750,414.677053015,0.000000000
10.400000000,705.825164155,421.072567978,0.000000000
10.600000000,705.716983561,427.468082942,0.000000000
10.800000000,705.608802967,433.863597906,0.000000000
11.000000000,705.500622373,440.259112869,0.000000000
11.200000000,705.392441778,446.654627833,0.000000000
11.400000000,705.284261184,453.050142796,0.000000000
11.600000000,705.176080590,459.445657760,0.000000000
11.800000000,705.067899996,465.841172723,0.000000000
12.000000000,704.959719401,472.236687687,0.000000000
12.200000000,704.851538807,478.632202651,0.000000000
12.400000000,704.743358213,485.027717614,0.000000000
12.600000000,704.635177619,491.423232578,0.000000000
12.800000000,704.526997024,497.818747541,0.000000000
13.000000000,704.418816430,504.214262505,0.000000000
13.200000000,704.310635836,510.609777468,0.000000000
13.400000000,704.202455242,517.005292432,0.000000000
13.600000000,704.229598827,522.950676055,0.000000000
13.800000000,704.392066590,528.445928336,0.000000000
14.000000000,704.554534354,533.941180617,0.000000000
14.200000000,704.717002118,539.436432899,0.000000000
14.400000000,704.879469882,544.931685180,0.000000000
14.600000000,705.041937646,550.426937462,0.000000000
14.800000000,705.204405409,555.922189743,0.000000000
15.000000000,705.366873173,561.417442025,0.000000000
15.200000000,705.529340937,566.912694306,0.000000000
15.400000000,705.691808701,572.407946588,0.000000000
15.600000000,705.854276465,577.903198869,0.000000000
15.800000000,706.016744229,583.398451150,0.000000000
16.000000000,706.179211992,588.893703432,0.000000000
16.200000000,706.341679756,594.388955713,0.000000000
16.400000000,706.504147520,599.884207995,0.000000000
16.600000000,706.666615284,605.379460276,0.000000000
16.800000000,706.829083048,610.874712558,0.000000000
17.000000000,706.991550812,616.369964839,0.000000000
17.200000000,707.154018575,621.865217121,0.000000000
17.400000000,707.316486339,627.360469402,0.000000000
17.600000000,707.478954103,632.855721683,0.000000000
17.800000000,707.641421867,638.350973965,0.000000000
18.000000000,707.803889631,643.846226246,0.000000000
18.200000000,707.966357394,649.341478528,0.000000000
18.400000000,708.128825158,654.836730809,0.000000000
18.600000000,708.291292922,660.331983091,0.000000000
18.800000000,708.453760686,665.827235372,0.000000000
19.000000000,708.616228450,671.322487654,0.000000000
19.200000000,708.778696214,676.817739935,0.000000000
19.400000000,708.941163977,682.312992216,0.000000000
19.600000000,709.103631741,687.808244498,0.000000000
19.800000000,709.266099505,693.303496779,0.000000000
20.000000000,709.428567269,698.798749061,0.000000000
20.200000000,709.591035033,704.294001342,0.000000000
20.400000000,709.753502796,709.789253624,0.000000000
20.600000000,709.915970560,715.284505905,0.000000000
20.800000000,710.078438324,720.779758187,0.000000000
21.000000000,710.240906088,726.275010468,0.000000000
21.200000000,710.403373852,731.770262749,0.000000000
21.400000000,710.565841616,737.265515031,0.000000000
21.600000000,710.728309379,742.760767312,0.000000000
21.800000000,710.890777143,748.256019594,0.000000000
22.000000000,711.053244907,753.751271875,0.000000000
22.200000000,711.215712671,759.246524157,0.000000000
22.400000000,711.378180435,764.741776438,0.000000000
22.600000000,711.540648199,770.237028720,0.000000000
22.800000000,711.703115962,775.732281001,0.000000000
23.000000000,711.865583726,781.227533282,0.000000000
23.200000000,712.028051490,786.722785564,0.000000000
23.400000000,712.190519254,792.218037845,0.000000000
23.600000000,712.352987018,797.713290127,0.000000000
23.800000000,712.515454781,803.208542408,0.000000000
24.000000000,712.677922545,808.703794690,0.000000000
24.200000000,712.840390309,814.199046971,0.000000000
24.400000000,713.002858073,819.694299253,0.000000000
24.600000000,713.165325837,825.189551534,0.000000000
24.800000000,713.327793601,830.684803815,0.000000000
25.000000000,713.490261364,836.180056097,0.000000000
25.200000000,713.652729128,841.675308378,0.000000000
25.400000000,713.815196892,847.170560660,0.000000000
25.600000000,713.977664656,852.665812941,0.000000000
25.800000000,714.140132420,858.161065223,0.000000000
26.000000000,714.302600184,863.656317504,0.000000000
26.200000000,714.465067947,869.151569786,0.000000000
26.400000000,714.627535711,874.646822067,0.000000000
26.600000000,714.790003475,880.142074348,0.000000000
26.800000000,714.952471239,885.637326630,0.000000000
27.000000000,715.114939003,891.132578911,0.000000000
27.200000000,715.277406766,896.627831193,0.000000000
27.400000000,715.439874530,902.123083474,0.000000000
27.600000000,715.602342294,907.618335756,0.000000000
27.800000000,715.764810058,913.113588037,0.000000000
28.000000000,715.927277822,918.608840319,0.000000000
28.200000000,716.089745586,924.104092600,0.000000000
28.400000000,716.252213349,929.599344881,0.000000000
