

Concurrency: 300 | Throughput: 1796.774560 | median: 63.332526 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m7.613935928s | size: 120887 | mean: 106.823440 | min: 9.016263 | max: 25544.338016

Concurrency: 600 | Throughput: 3351.845398 | median: 129.547004 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006944264s | size: 199933 | mean: 179.640600 | min: 7.370799 | max: 6008.983687
Concurrency: 600 | Throughput: 3808.239627 | median: 129.369823 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.630838129s | size: 233505 | mean: 135.845648 | min: 6.755553 | max: 8738.581656


Concurrency: 800 | Throughput: 2287.069774 | median: 169.945629 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m3.887862817s | size: 144816 | mean: 280.774668 | min: 0.049255 | max: 13023.687173
Concurrency: 800 | Throughput: 2858.360911 | median: 172.865579 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.010966185s | size: 169932 | mean: 281.047732 | min: 0.049232 | max: 6620.065150
Concurrency: 800 | Throughput: 328.408121 | median: 156.127426 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00765124s | size: 19546 | mean: 2447.920927 | min: 23.044613 | max: 55629.190429

Concurrency: 800 | Throughput: 1348.978865 | median: 175.501627 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.026885593s | size: 79632 | mean: 549.476500 | min: 15.590514 | max: 20653.241167
Concurrency: 1000 | Throughput: 3463.594976 | median: 229.645696 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003262925s | size: 206922 | mean: 288.959326 | min: 0.042420 | max: 7224.893071
Concurrency: 1000 | Throughput: 3018.528260 | median: 209.709112 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002088558s | size: 179118 | mean: 333.790373 | min: 0.041950 | max: 15662.024347
Concurrency: 1000 | Throughput: 4089.115530 | median: 223.257570 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.014445224s | size: 243408 | mean: 245.428780 | min: 0.044969 | max: 5987.886045




Concurrency: 10 | Throughput: 461.910468 | median: 9.217923 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00297012s | size: 27696 | mean: 21.658136 | min: 6.641126 | max: 15394.680958
Concurrency: 10 | Throughput: 425.203748 | median: 11.251845 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001822893s | size: 25503 | mean: 23.519820 | min: 6.627462 | max: 13788.010364
Concurrency: 10 | Throughput: 337.043732 | median: 10.126930 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.549876342s | size: 20727 | mean: 23.181356 | min: 6.564603 | max: 13579.825635
Concurrency: 20 | Throughput: 1352.817500 | median: 10.254324 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000702246s | size: 81130 | mean: 14.786114 | min: 6.563448 | max: 6559.226967
Concurrency: 20 | Throughput: 683.683389 | median: 10.351572 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m4.165666022s | size: 43829 | mean: 17.445378 | min: 6.532071 | max: 27285.951572
Concurrency: 20 | Throughput: 838.571773 | median: 11.436256 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002019618s | size: 50276 | mean: 23.861308 | min: 6.548894 | max: 23490.756752

Concurrency: 20 | Throughput: 1201.391998 | median: 9.830102 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004561472s | size: 72049 | mean: 16.650536 | min: 6.543556 | max: 6780.364479

Concurrency: 30 | Throughput: 1075.303265 | median: 15.807956 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001677767s | size: 64460 | mean: 27.910781 | min: 6.568078 | max: 13042.343106

Concurrency: 30 | Throughput: 251.230884 | median: 11.342910 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.31503673s | size: 15104 | mean: 24.153920 | min: 6.679519 | max: 53499.668402
Concurrency: 30 | Throughput: 769.060123 | median: 15.947496 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.010912838s | size: 46093 | mean: 39.041007 | min: 6.728927 | max: 27425.254107
Concurrency: 60 | Throughput: 1508.758592 | median: 18.164649 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m7.424305351s | size: 101691 | mean: 27.032440 | min: 6.794519 | max: 21957.906018
Concurrency: 60 | Throughput: 2408.404645 | median: 18.565357 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005282054s | size: 144396 | mean: 24.916638 | min: 6.749172 | max: 5465.701027
Concurrency: 60 | Throughput: 1391.923033 | median: 18.984758 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001162421s | size: 83397 | mean: 43.144541 | min: 6.788542 | max: 12954.439065
Concurrency: 60 | Throughput: 1802.150275 | median: 17.737489 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m4.921888921s | size: 116879 | mean: 30.477510 | min: 6.810956 | max: 12752.734091
Concurrency: 60 | Throughput: 1582.492374 | median: 21.433866 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m2.794615415s | size: 99256 | mean: 31.102892 | min: 6.780465 | max: 12358.738161
Concurrency: 80 | Throughput: 1876.596154 | median: 23.510811 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004918896s | size: 112445 | mean: 42.663266 | min: 6.665688 | max: 11861.933408


