time_s,x_m,y_m,z_m
0.000000000,289.500933312,335.861352550,0.000000000
0.200000000,292.379202087,337.486271471,0.000000000
0.400000000,295.257470862,339.111190392,0.000000000
0.600000000,298.135739638,340.736109313,0.000000000
0.800000000,301.014008413,342.361028233,0.000000000
1.000000000,303.892277188,343.985947154,0.000000000
1.200000000,306.770545963,345.610866075,0.000000000
1.400000000,309.648814738,347.235784996,0.000000000
1.600000000,312.527083514,348.860703917,0.000000000
1.800000000,315.405352289,350.485622838,0.000000000
2.000000000,318.283621064,352.110541759,0.000000000
2.200000000,321.161889839,353.735460679,0.000000000
2.400000000,324.040158614,355.360379600,0.000000000
2.600000000,326.918427390,356.985298521,0.000000000
2.800000000,329.796696165,358.610217442,0.000000000
3.000000000,332.674964940,360.235136363,0.000000000
3.200000000,335.553233715,361.860055284,0.000000000
3.400000000,338.431502491,363.484974204,0.000000000
3.600000000,341.309771266,365.109893125,0.000000000
3.800000000,344.188040041,366.734812046,0.000000000
4.000000000,347.066308816,368.359730967,0.000000000
4.200000000,349.944577591,369.984649888,0.000000000
4.400000000,352.822846367,371.609568809,0.000000000
4.600000000,355.701115142,373.234487729,0.000000000
4.800000000,358.579383917,374.859406650,0.000000000
5.000000000,361.457652692,376.484325571,0.000000000
5.200000000,364.335921468,378.109244492,0.000000000
5.400000000,367.214190243,379.734163413,0.000000000
5.600000000,370.092459018,381.359082334,0.000000000
5.800000000,372.970727793,382.984001254,0.000000000
6.000000000,375.848996568,384.608920175,0.000000000
6.200000000,378.727265344,386.233839096,0.000000000
6.400000000,381.605534119,387.858758017,0.000000000
6.600000000,384.483802894,389.483676938,0.000000000
6.800000000,387.362071669,391.108595859,0.000000000
7.000000000,390.240340445,392.733514780,0.000000000
7.200000000,393.118609220,394.358433700,0.000000000
7.400000000,395.996877995,395.983352621,0.000000000
7.600000000,398.875146770,397.608271542,0.000000000
7.800000000,401.753415545,399.233190463,0.000000000
8.000000000,404.631684321,400.858109384,0.000000000
8.200000000,407.509953096,402.483028305,0.000000000
8.400000000,410.388221871,404.107947225,0.000000000
8.600000000,413.266490646,405.732866146,0.000000000
8.800000000,416.144759421,407.357785067,0.000000000
9.000000000,419.023028197,408.982703988,0.000000000
9.200000000,421.901296972,410.607622909,0.000000000
9.400000000,424.779565747,412.232541830,0.000000000
9.600000000,427.657834522,413.857460750,0.000000000
9.800000000,430.536103298,415.482379671,0.000000000
10.000000000,433.414372073,417.107298592,0.000000000
10.200000000,436.292640848,418.732217513,0.000000000
10.400000000,439.170909623,420.357136434,0.000000000
10.600000000,442.049178398,421.982055355,0.000000000
10.800000000,444.927447174,423.606974275,0.000000000
11.000000000,447.805715949,425.231893196,0.000000000
11.200000000,450.683984724,426.856812117,0.000000000
11.400000000,453.562253499,428.481731038,0.000000000
11.600000000,456.440522275,430.106649959,0.000000000
11.800000000,459.318791050,431.731568880,0.000000000
12.000000000,462.197059825,433.356487801,0.000000000
12.200000000,465.075328600,434.981406721,0.000000000
12.400000000,467.953597375,436.606325642,0.000000000
12.600000000,470.831866151,438.231244563,0.000000000
12.800000000,473.710134926,439.856163484,0.000000000
13.000000000,476.588403701,441.481082405,0.000000000
13.200000000,479.466672476,443.106001326,0.000000000
13.400000000,482.344941251,444.730920246,0.000000000
13.600000000,485.223210027,446.355839167,0.000000000
13.800000000,488.101478802,447.980758088,0.000000000
14.000000000,490.979747577,449.605677009,0.000000000
14.200000000,493.858016352,451.230595930,0.000000000
14.400000000,496.736285128,452.855514851,0.000000000
14.600000000,499.614553903,454.480433771,0.000000000
14.800000000,502.492822678,456.105352692,0.000000000
15.000000000,505.371091453,457.730271613,0.000000000
15.200000000,508.249360228,459.355190534,0.000000000
15.400000000,511.127629004,460.980109455,0.000000000
15.600000000,514.005897779,462.605028376,0.000000000
15.800000000,516.884166554,464.229947297,0.000000000
16.000000000,519.762435329,465.854866217,0.000000000
16.200000000,522.640704105,467.479785138,0.000000000
16.400000000,525.518972880,469.104704059,0.000000000
16.600000000,528.397241655,470.729622980,0.000000000
16.800000000,531.275510430,472.354541901,0.000000000
17.000000000,534.153779205,473.979460822,0.000000000
17.200000000,537.032047981,475.604379742,0.000000000
17.400000000,539.910316756,477.229298663,0.000000000
17.600000000,542.788585531,478.854217584,0.000000000
17.800000000,545.666854306,480.479136505,0.000000000
18.000000000,548.545123081,482.104055426,0.000000000
18.200000000,551.423391857,483.728974347,0.000000000
18.400000000,554.301660632,485.353893267,0.000000000
18.600000000,557.179929407,486.978812188,0.000000000
18.800000000,560.058198182,488.603731109,0.000000000
19.000000000,562.936466958,490.228650030,0.000000000
19.200000000,565.814735733,491.853568951,0.000000000
19.400000000,568.693004508,493.478487872,0.000000000
19.600000000,571.571273283,495.103406792,0.000000000
19.800000000,574.449542058,496.728325713,0.000000000
20.000000000,577.327810834,498.353244634,0.000000000
20.200000000,580.206079609,499.978163555,0.000000000
20.400000000,583.084348384,501.603082476,0.000000000
20.600000000,585.962617159,503.228001397,0.000000000
20.800000000,588.840885935,504.852920318,0.000000000
21.000000000,591.719154710,506.477839238,0.000000000
21.200000000,594.597423485,508.102758159,0.000000000
21.400000000,597.475692260,509.727677080,0.000000000
21.600000000,600.353961035,511.352596001,0.000000000
21.800000000,603.232229811,512.977514922,0.000000000
22.000000000,606.110498586,514.602433843,0.000000000
22.200000000,608.988767361,516.227352763,0.000000000
22.400000000,611.867036136,517.852271684,0.000000000
22.600000000,614.745304912,519.477190605,0.000000000
22.800000000,617.623573687,521.102109526,0.000000000
23.000000000,620.501842462,522.727028447,0.000000000
23.200000000,623.380111237,524.351947368,0.000000000
23.400000000,626.258380012,525.976866288,0.000000000
23.600000000,629.136648788,527.601785209,0.000000000
23.800000000,632.014917563,529.226704130,0.000000000
24.000000000,634.893186338,530.851623051,0.000000000
24.200000000,637.771455113,532.476541972,0.000000000
24.400000000,640.649723888,534.101460893,0.000000000
24.600000000,643.527992664,535.726379813,0.000000000
24.800000000,646.406261439,537.351298734,0.000000000
25.000000000,649.284530214,538.976217655,0.000000000
25.200000000,652.162798989,540.601136576,0.000000000
25.400000000,655.041067765,542.226055497,0.000000000
25.600000000,657.919336540,543.850974418,0.000000000
25.800000000,660.797605315,545.475893339,0.000000000
26.000000000,663.675874090,547.100812259,0.000000000
26.200000000,666.554142865,548.725731180,0.000000000
26.400000000,669.432411641,550.350650101,0.000000000
26.600000000,672.310680416,551.975569022,0.000000000
26.800000000,675.188949191,553.600487943,0.000000000
27.000000000,678.067217966,555.225406864,0.000000000
27.200000000,680.945486742,556.850325784,0.000000000
27.400000000,683.823755517,558.475244705,0.000000000
27.600000000,686.702024292,560.100163626,0.000000000
27.800000000,689.580293067,561.725082547,0.000000000
28.000000000,692.458561842,563.350001468,0.000000000
28.200000000,695.336830618,564.974920389,0.000000000
28.400000000,698.215099393,566.599839309,0.000000000
28.600000000,701.093368168,568.224758230,0.000000000
28.800000000,703.971636943,569.849677151,0.000000000
29.000000000,706.849905718,571.474596072,0.000000000
29.200000000,709.728174494,573.099514993,0.000000000
29.400000000,712.606443269,574.724433914,0.000000000
29.600000000,715.484712044,576.349352835,0.000000000
29.800000000,718.362980819,577.974271755,0.000000000
30.000000000,721.241249595,579.599190676,0.000000000
30.200000000,724.119518370,581.224109597,0.000000000
30.400000000,726.997787145,582.849028518,0.000000000
30.600000000,729.876055920,584.473947439,0.000000000
30.800000000,732.754324695,586.098866360,0.000000000
31.000000000,735.632593471,587.723785280,0.000000000
31.200000000,738.510862246,589.348704201,0.000000000
31.400000000,741.389131021,590.973623122,0.000000000
31.600000000,744.267399796,592.598542043,0.000000000
31.800000000,747.145668572,594.223460964,0.000000000
32.000000000,750.023937347,595.848379885,0.000000000
32.200000000,752.902206122,597.473298805,0.000000000
32.400000000,755.780474897,599.098217726,0.000000000
32.600000000,758.658743672,600.723136647,0.000000000
32.800000000,761.537012448,602.348055568,0.000000000
33.000000000,764.415281223,603.972974489,0.000000000
33.200000000,767.293549998,605.597893410,0.000000000
