Concurrency: 10 | Throughput: 1149.507368 | median: 7.996041 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004835048s | size: 68956 | mean: 8.697246 | min: 6.409813 | max: 41.838912
Concurrency: 10 | Throughput: 1166.086236 | median: 7.944451 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00156577s | size: 69947 | mean: 8.573267 | min: 6.401971 | max: 46.928312
Concurrency: 10 | Throughput: 1177.564597 | median: 7.866417 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.014542036s | size: 70651 | mean: 8.489265 | min: 6.396558 | max: 44.579995
Concurrency: 10 | Throughput: 1196.294885 | median: 7.806483 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005272018s | size: 71764 | mean: 8.356579 | min: 6.372860 | max: 62.774384
Concurrency: 20 | Throughput: 2121.735395 | median: 8.549929 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00088432s | size: 127266 | mean: 9.424929 | min: 6.415862 | max: 61.790944
Concurrency: 20 | Throughput: 2179.734575 | median: 8.461116 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000424584s | size: 130745 | mean: 9.173292 | min: 6.407543 | max: 48.831340
Concurrency: 20 | Throughput: 2163.803644 | median: 8.480929 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003134011s | size: 129795 | mean: 9.240816 | min: 6.393977 | max: 78.945795
Concurrency: 20 | Throughput: 2158.436647 | median: 8.505634 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001297783s | size: 129470 | mean: 9.264396 | min: 6.379429 | max: 48.093469
Concurrency: 20 | Throughput: 2149.574495 | median: 8.524628 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001177103s | size: 128938 | mean: 9.300841 | min: 6.402993 | max: 55.270491
Concurrency: 30 | Throughput: 2898.552447 | median: 9.522677 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000294345s | size: 173854 | mean: 10.347660 | min: 6.383307 | max: 68.031338
Concurrency: 30 | Throughput: 2600.340561 | median: 10.212143 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000602354s | size: 155962 | mean: 11.533242 | min: 6.432127 | max: 69.701432
Concurrency: 30 | Throughput: 2949.217654 | median: 9.292556 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002014358s | size: 176900 | mean: 10.168831 | min: 6.400003 | max: 58.271760
Concurrency: 30 | Throughput: 2906.890086 | median: 9.418349 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000204625s | size: 174354 | mean: 10.318571 | min: 6.439274 | max: 59.004837
Concurrency: 30 | Throughput: 2824.961297 | median: 9.687855 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002945946s | size: 169452 | mean: 10.616183 | min: 6.362378 | max: 63.180794
Concurrency: 60 | Throughput: 4004.036452 | median: 13.739134 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000702508s | size: 240125 | mean: 14.984703 | min: 6.453038 | max: 103.036580
Concurrency: 60 | Throughput: 4127.323465 | median: 13.261556 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003777781s | size: 247535 | mean: 14.534348 | min: 6.440106 | max: 104.706093
Concurrency: 60 | Throughput: 4220.829455 | median: 13.215308 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004319692s | size: 253149 | mean: 14.213624 | min: 6.502635 | max: 96.300211
Concurrency: 60 | Throughput: 4206.396920 | median: 13.166530 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001945798s | size: 252272 | mean: 14.262306 | min: 6.533265 | max: 97.000157
Concurrency: 60 | Throughput: 4209.847782 | median: 13.280166 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00026915s | size: 252474 | mean: 14.245677 | min: 6.442982 | max: 106.074834
Concurrency: 80 | Throughput: 4604.083075 | median: 16.161898 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000437766s | size: 276087 | mean: 17.377560 | min: 6.592325 | max: 96.844559
Concurrency: 80 | Throughput: 4586.752967 | median: 16.233662 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001051283s | size: 275050 | mean: 17.433375 | min: 6.549407 | max: 117.770646
Concurrency: 80 | Throughput: 4604.205309 | median: 16.229807 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001668354s | size: 276100 | mean: 17.371424 | min: 6.509603 | max: 94.622004
Concurrency: 80 | Throughput: 4567.237832 | median: 16.310928 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.013953746s | size: 273940 | mean: 17.513397 | min: 6.562797 | max: 96.176938
Concurrency: 80 | Throughput: 4573.617605 | median: 16.286768 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000424983s | size: 274259 | mean: 17.490010 | min: 6.494893 | max: 114.983641
Concurrency: 100 | Throughput: 4851.517522 | median: 19.378764 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00246288s | size: 290903 | mean: 20.606254 | min: 6.648155 | max: 116.753627
Concurrency: 100 | Throughput: 4889.937591 | median: 19.046501 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000152262s | size: 293197 | mean: 20.445365 | min: 6.600560 | max: 117.794649
Concurrency: 100 | Throughput: 4866.997836 | median: 19.293628 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.0022868s | size: 291831 | mean: 20.538791 | min: 6.631854 | max: 127.229983
