Concurrency: 10 | Throughput: 1151.916711 | median: 7.884264 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004338286s | size: 69100 | mean: 8.678906 | min: 6.391451 | max: 568.729447
Concurrency: 10 | Throughput: 1155.739757 | median: 7.886198 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003992729s | size: 69329 | mean: 8.650624 | min: 6.405396 | max: 568.627367
Concurrency: 10 | Throughput: 1144.629430 | median: 7.907047 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001951881s | size: 68660 | mean: 8.734620 | min: 6.386639 | max: 551.561694
Concurrency: 10 | Throughput: 1151.759086 | median: 7.875539 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002999616s | size: 69089 | mean: 8.680744 | min: 6.393636 | max: 296.577585
Concurrency: 10 | Throughput: 1157.783812 | median: 7.899337 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.007748662s | size: 69456 | mean: 8.634651 | min: 6.368482 | max: 296.229793
Concurrency: 10 | Throughput: 1153.458038 | median: 7.924088 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002182755s | size: 69192 | mean: 8.668158 | min: 6.408000 | max: 304.714940
Concurrency: 10 | Throughput: 1143.625170 | median: 7.935371 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001302724s | size: 68600 | mean: 8.741704 | min: 6.385902 | max: 299.703958
Concurrency: 10 | Throughput: 1148.604134 | median: 7.914896 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001525292s | size: 68899 | mean: 8.704765 | min: 6.396734 | max: 305.311614
Concurrency: 10 | Throughput: 1110.311417 | median: 8.054360 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002084965s | size: 66602 | mean: 9.005129 | min: 6.397381 | max: 565.167399
Concurrency: 10 | Throughput: 1140.339793 | median: 7.978370 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003167865s | size: 68404 | mean: 8.767756 | min: 6.404326 | max: 66.040860
Concurrency: 20 | Throughput: 2144.000155 | median: 8.421751 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000462071s | size: 128602 | mean: 9.326376 | min: 6.394465 | max: 296.565325
Concurrency: 20 | Throughput: 2135.644989 | median: 8.494007 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000609017s | size: 128100 | mean: 9.361720 | min: 6.338372 | max: 320.898121
Concurrency: 20 | Throughput: 2107.080969 | median: 8.573848 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001491091s | size: 126389 | mean: 9.487810 | min: 6.387238 | max: 320.549281
Concurrency: 20 | Throughput: 2107.068616 | median: 8.493000 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000419074s | size: 126385 | mean: 9.488819 | min: 6.339452 | max: 574.426175
Concurrency: 20 | Throughput: 2108.758970 | median: 8.632583 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.008754805s | size: 126505 | mean: 9.481175 | min: 6.398409 | max: 293.652354
Concurrency: 20 | Throughput: 2091.116022 | median: 8.492263 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003365987s | size: 125434 | mean: 9.562286 | min: 6.393233 | max: 568.683928
Concurrency: 20 | Throughput: 2053.829811 | median: 8.743186 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003024263s | size: 123196 | mean: 9.733350 | min: 6.359234 | max: 564.125510
Concurrency: 20 | Throughput: 2103.139343 | median: 8.530102 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000779524s | size: 126150 | mean: 9.507125 | min: 6.384901 | max: 557.033914
Concurrency: 20 | Throughput: 2115.427457 | median: 8.593684 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004421136s | size: 126895 | mean: 9.451676 | min: 6.404448 | max: 55.227445
Concurrency: 20 | Throughput: 2125.992120 | median: 8.519498 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002103868s | size: 127524 | mean: 9.405305 | min: 6.382707 | max: 330.991717
Concurrency: 30 | Throughput: 2878.479882 | median: 9.439814 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003893394s | size: 172661 | mean: 10.417673 | min: 6.404073 | max: 584.403825
Concurrency: 30 | Throughput: 2896.448627 | median: 9.382178 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002445187s | size: 173734 | mean: 10.353913 | min: 6.422417 | max: 325.977899
Concurrency: 30 | Throughput: 2838.122845 | median: 9.501920 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001631119s | size: 170233 | mean: 10.568298 | min: 6.386555 | max: 308.003920
Concurrency: 30 | Throughput: 2962.956726 | median: 9.167676 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000538798s | size: 177719 | mean: 10.122098 | min: 6.407403 | max: 314.249448
Concurrency: 30 | Throughput: 2888.591918 | median: 9.450545 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000514071s | size: 173258 | mean: 10.381920 | min: 6.411749 | max: 306.524167
Concurrency: 30 | Throughput: 2925.228282 | median: 9.289594 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003864s | size: 175465 | mean: 10.249858 | min: 6.387145 | max: 302.747805
Concurrency: 30 | Throughput: 2893.467569 | median: 9.297193 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001018103s | size: 173551 | mean: 10.366105 | min: 6.443551 | max: 302.024452
Concurrency: 30 | Throughput: 2918.536701 | median: 9.225339 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003357149s | size: 175065 | mean: 10.277349 | min: 6.382159 | max: 313.553660
Concurrency: 30 | Throughput: 2934.995247 | median: 9.262505 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000437882s | size: 176041 | mean: 10.217134 | min: 6.380234 | max: 321.145351
Concurrency: 30 | Throughput: 2976.558337 | median: 9.207471 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000839814s | size: 178536 | mean: 10.076496 | min: 6.391828 | max: 87.604873
