Concurrency: 200 | Throughput: 4134.408830 | median: 42.435170 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001806837s | size: 247672 | mean: 48.333727 | min: 6.841488 | max: 384.291979
Concurrency: 200 | Throughput: 4525.271118 | median: 41.760438 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002592757s | size: 271128 | mean: 44.181833 | min: 6.776994 | max: 193.869026
Concurrency: 200 | Throughput: 2598.441559 | median: 70.200451 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000579758s | size: 155508 | mean: 76.985353 | min: 7.186501 | max: 857.685204
Concurrency: 200 | Throughput: 3685.209938 | median: 49.931163 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003094462s | size: 220757 | mean: 54.270912 | min: 6.657094 | max: 632.892476
Concurrency: 200 | Throughput: 3664.716514 | median: 50.814905 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000821115s | size: 219486 | mean: 54.598681 | min: 7.114772 | max: 334.674762
Concurrency: 300 | Throughput: 3997.784465 | median: 70.483609 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004235365s | size: 239285 | mean: 75.069634 | min: 6.601586 | max: 226.823330
Concurrency: 300 | Throughput: 4194.943904 | median: 67.513138 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000325577s | size: 251099 | mean: 71.527953 | min: 6.766071 | max: 355.018373
Concurrency: 300 | Throughput: 3844.166981 | median: 72.650618 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.015603153s | size: 230110 | mean: 78.040278 | min: 6.657381 | max: 291.964593
Concurrency: 300 | Throughput: 3648.809350 | median: 74.766230 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003957177s | size: 218385 | mean: 82.228351 | min: 7.331176 | max: 572.059356
Concurrency: 300 | Throughput: 4132.271790 | median: 67.783848 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003071582s | size: 247349 | mean: 72.643550 | min: 6.806976 | max: 366.405138
Concurrency: 600 | Throughput: 4287.830924 | median: 135.363422 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003531982s | size: 256088 | mean: 140.134964 | min: 8.104627 | max: 511.237016
Concurrency: 600 | Throughput: 4188.235409 | median: 136.652644 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002596669s | size: 250109 | mean: 143.517932 | min: 6.884974 | max: 587.538489
Concurrency: 600 | Throughput: 3141.916737 | median: 182.370566 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001908319s | size: 187931 | mean: 190.898271 | min: 8.662198 | max: 628.297484
Concurrency: 600 | Throughput: 3700.799211 | median: 154.654710 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00379576s | size: 220861 | mean: 162.539191 | min: 7.514082 | max: 570.749478
Concurrency: 600 | Throughput: 3684.820685 | median: 153.167843 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.009975763s | size: 219926 | mean: 163.303623 | min: 6.756378 | max: 473.104081
Concurrency: 800 | Throughput: 4141.260132 | median: 185.169824 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003475292s | size: 246906 | mean: 193.598125 | min: 0.044948 | max: 613.142499
Concurrency: 800 | Throughput: 3937.169418 | median: 187.260919 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000466046s | size: 234632 | mean: 203.665696 | min: 7.882003 | max: 1023.515320
Concurrency: 800 | Throughput: 4231.776316 | median: 180.586396 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003171487s | size: 252320 | mean: 189.445560 | min: 9.336364 | max: 637.724346
Concurrency: 800 | Throughput: 4011.975336 | median: 191.283934 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.096830074s | size: 239559 | mean: 199.708197 | min: 0.049722 | max: 687.720410
Concurrency: 800 | Throughput: 4033.211359 | median: 188.821000 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005533675s | size: 240415 | mean: 198.672562 | min: 10.037675 | max: 627.359187
Concurrency: 1000 | Throughput: 4627.931899 | median: 207.706836 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000882909s | size: 276011 | mean: 216.411384 | min: 0.044288 | max: 5689.903804
Concurrency: 1000 | Throughput: 3906.037181 | median: 248.512007 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002757055s | size: 232374 | mean: 257.252669 | min: 0.043052 | max: 4638.367947
Concurrency: 1000 | Throughput: 4144.792715 | median: 226.918371 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.010238654s | size: 246769 | mean: 241.958919 | min: 0.048212 | max: 6561.042814
Concurrency: 1000 | Throughput: 3887.518399 | median: 249.631014 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000230504s | size: 231252 | mean: 258.271363 | min: 0.043886 | max: 8728.306854
Concurrency: 1000 | Throughput: 3807.305372 | median: 249.668280 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000440641s | size: 226789 | mean: 263.526960 | min: 0.043806 | max: 6617.659865
