time_s,x_m,y_m,z_m
0.000000000,275.091343449,814.749200161,0.000000000
0.200000000,275.275993002,815.088443185,0.000000000
0.400000000,275.460642555,815.427686209,0.000000000
0.600000000,275.645292107,815.766929234,0.000000000
0.800000000,275.829941660,816.106172258,0.000000000
1.000000000,276.014591213,816.445415282,0.000000000
1.200000000,276.199240766,816.784658306,0.000000000
1.400000000,276.383890318,817.123901331,0.000000000
1.600000000,276.568539871,817.463144355,0.000000000
1.800000000,276.753189424,817.802387379,0.000000000
2.000000000,276.937838977,818.141630403,0.000000000
2.200000000,277.122488529,818.480873428,0.000000000
2.400000000,277.307138082,818.820116452,0.000000000
2.600000000,277.491787635,819.159359476,0.000000000
2.800000000,277.676437188,819.498602501,0.000000000
3.000000000,277.861086740,819.837845525,0.000000000
3.200000000,278.045736293,820.177088549,0.000000000
3.400000000,278.230385846,820.516331573,0.000000000
3.600000000,278.415035399,820.855574598,0.000000000
3.800000000,278.599684951,821.194817622,0.000000000
4.000000000,278.784334504,821.534060646,0.000000000
4.200000000,278.968984057,821.873303670,0.000000000
4.400000000,279.153633610,822.212546695,0.000000000
4.600000000,279.338283162,822.551789719,0.000000000
4.800000000,279.522932715,822.891032743,0.000000000
5.000000000,279.707582268,823.230275767,0.000000000
5.200000000,279.892231821,823.569518792,0.000000000
5.400000000,280.076881374,823.908761816,0.000000000
5.600000000,280.261530926,824.248004840,0.000000000
5.800000000,280.446180479,824.587247865,0.000000000
6.000000000,280.630830032,824.926490889,0.000000000
6.200000000,280.815479585,825.265733913,0.000000000
6.400000000,281.000129137,825.604976937,0.000000000
6.600000000,281.184778690,825.944219962,0.000000000
6.800000000,281.369428243,826.283462986,0.000000000
7.000000000,281.554077796,826.622706010,0.000000000
7.200000000,281.738727348,826.961949034,0.000000000
7.400000000,281.923376901,827.301192059,0.000000000
7.600000000,282.108026454,827.640435083,0.000000000
7.800000000,282.292676007,827.979678107,0.000000000
8.000000000,282.477325559,828.318921131,0.000000000
8.200000000,282.661975112,828.658164156,0.000000000
8.400000000,282.846624665,828.997407180,0.000000000
8.600000000,283.031274218,829.336650204,0.000000000
8.800000000,283.215923770,829.675893229,0.000000000
9.000000000,283.400573323,830.015136253,0.000000000
9.200000000,283.585222876,830.354379277,0.000000000
9.400000000,283.769872429,830.693622301,0.000000000
9.600000000,283.954521982,831.032865326,0.000000000
9.800000000,284.139171534,831.372108350,0.000000000
10.000000000,284.323821087,831.711351374,0.000000000
10.200000000,284.508470640,832.050594398,0.000000000
10.400000000,284.693120193,832.389837423,0.000000000
10.600000000,284.877769745,832.729080447,0.000000000
10.800000000,285.062419298,833.068323471,0.000000000
11.000000000,285.247068851,833.407566495,0.000000000
11.200000000,285.431718404,833.746809520,0.000000000
11.400000000,285.616367956,834.086052544,0.000000000
11.600000000,285.801017509,834.425295568,0.000000000
11.800000000,285.985667062,834.764538593,0.000000000
12.000000000,286.170316615,835.103781617,0.000000000
12.200000000,286.354966167,835.443024641,0.000000000
12.400000000,286.539615720,835.782267665,0.000000000
12.600000000,286.724265273,836.121510690,0.000000000
12.800000000,286.908914826,836.460753714,0.000000000
13.000000000,287.093564378,836.799996738,0.000000000
13.200000000,287.278213931,837.139239762,0.000000000
13.400000000,287.462863484,837.478482787,0.000000000
13.600000000,287.478875744,837.508105270,0.000000000
13.800000000,287.326250711,837.228107212,0.000000000
14.000000000,287.173625678,836.948109154,0.000000000
14.200000000,287.021000645,836.668111096,0.000000000
14.400000000,286.868375612,836.388113038,0.000000000
14.600000000,286.715750579,836.108114980,0.000000000
14.800000000,286.563125546,835.828116923,0.000000000
15.000000000,286.410500513,835.548118865,0.000000000
15.200000000,286.257875481,835.268120807,0.000000000
15.400000000,286.105250448,834.988122749,0.000000000
15.600000000,285.952625415,834.708124691,0.000000000
15.800000000,285.800000382,834.428126633,0.000000000
16.000000000,285.647375349,834.148128575,0.000000000
16.200000000,285.494750316,833.868130517,0.000000000
16.400000000,285.342125283,833.588132459,0.000000000
16.600000000,285.189500250,833.308134402,0.000000000
16.800000000,285.036875217,833.028136344,0.000000000
17.000000000,284.884250184,832.748138286,0.000000000
17.200000000,284.731625151,832.468140228,0.000000000
17.400000000,284.579000119,832.188142170,0.000000000
17.600000000,284.426375086,831.908144112,0.000000000
17.800000000,284.273750053,831.628146054,0.000000000
18.000000000,284.121125020,831.348147996,0.000000000
18.200000000,283.968499987,831.068149938,0.000000000
18.400000000,283.815874954,830.788151881,0.000000000
18.600000000,283.663249921,830.508153823,0.000000000
18.800000000,283.510624888,830.228155765,0.000000000
19.000000000,283.357999855,829.948157707,0.000000000
19.200000000,283.205374822,829.668159649,0.000000000
19.400000000,283.052749789,829.388161591,0.000000000
19.600000000,282.900124756,829.108163533,0.000000000
19.800000000,282.747499724,828.828165475,0.000000000
20.000000000,282.594874691,828.548167417,0.000000000
20.200000000,282.442249658,828.268169360,0.000000000
20.400000000,282.289624625,827.988171302,0.000000000
20.600000000,282.136999592,827.708173244,0.000000000
20.800000000,281.984374559,827.428175186,0.000000000
21.000000000,281.831749526,827.148177128,0.000000000
21.200000000,281.679124493,826.868179070,0.000000000
21.400000000,281.526499460,826.588181012,0.000000000
21.600000000,281.373874427,826.308182954,0.000000000
21.800000000,281.221249394,826.028184896,0.000000000
22.000000000,281.068624361,825.748186839,0.000000000
22.200000000,280.915999329,825.468188781,0.000000000
22.400000000,280.763374296,825.188190723,0.000000000
22.600000000,280.610749263,824.908192665,0.000000000
22.800000000,280.458124230,824.628194607,0.000000000
23.000000000,280.305499197,824.348196549,0.000000000
23.200000000,280.152874164,824.068198491,0.000000000
23.400000000,280.000249131,823.788200433,0.000000000
23.600000000,279.847624098,823.508202375,0.000000000
23.800000000,279.694999065,823.228204318,0.000000000
24.000000000,279.542374032,822.948206260,0.000000000
24.200000000,279.389748999,822.668208202,0.000000000
24.400000000,279.237123966,822.388210144,0.000000000
24.600000000,279.084498934,822.108212086,0.000000000
24.800000000,278.931873901,821.828214028,0.000000000
25.000000000,278.779248868,821.548215970,0.000000000
25.200000000,278.626623835,821.268217912,0.000000000
25.400000000,278.473998802,820.988219854,0.000000000
25.600000000,278.321373769,820.708221797,0.000000000
25.800000000,278.168748736,820.428223739,0.000000000
26.000000000,278.016123703,820.148225681,0.000000000
