time_s,x_m,y_m,z_m
0.000000000,730.898142354,67.954335937,0.000000000
0.200000000,728.492863487,71.150369975,0.000000000
0.400000000,726.087584620,74.346404013,0.000000000
0.600000000,723.682305753,77.542438051,0.000000000
0.800000000,721.277026886,80.738472089,0.000000000
1.000000000,718.871748018,83.934506127,0.000000000
1.200000000,716.466469151,87.130540164,0.000000000
1.400000000,714.061190284,90.326574202,0.000000000
1.600000000,711.655911417,93.522608240,0.000000000
1.800000000,709.250632550,96.718642278,0.000000000
2.000000000,706.845353683,99.914676316,0.000000000
2.200000000,704.440074816,103.110710354,0.000000000
2.400000000,702.034795948,106.306744392,0.000000000
2.600000000,699.629517081,109.502778430,0.000000000
2.800000000,697.224238214,112.698812467,0.000000000
3.000000000,694.818959347,115.894846505,0.000000000
3.200000000,692.413680480,119.090880543,0.000000000
3.400000000,690.008401613,122.286914581,0.000000000
3.600000000,687.603122746,125.482948619,0.000000000
3.800000000,685.197843878,128.678982657,0.000000000
4.000000000,682.792565011,131.875016695,0.000000000
4.200000000,680.387286144,135.071050733,0.000000000
4.400000000,677.982007277,138.267084770,0.000000000
4.600000000,675.576728410,141.463118808,0.000000000
4.800000000,673.171449543,144.659152846,0.000000000
5.000000000,670.766170675,147.855186884,0.000000000
5.200000000,668.360891808,151.051220922,0.000000000
5.400000000,665.955612941,154.247254960,0.000000000
5.600000000,663.550334074,157.443288998,0.000000000
5.800000000,661.145055207,160.639323036,0.000000000
6.000000000,658.739776340,163.835357073,0.000000000
6.200000000,656.334497473,167.031391111,0.000000000
6.400000000,653.929218605,170.227425149,0.000000000
6.600000000,651.523939738,173.423459187,0.000000000
6.800000000,649.118660871,176.619493225,0.000000000
7.000000000,646.713382004,179.815527263,0.000000000
7.200000000,644.308103137,183.011561301,0.000000000
7.400000000,641.902824270,186.207595339,0.000000000
7.600000000,639.497545403,189.403629376,0.000000000
7.800000000,637.092266535,192.599663414,0.000000000
8.000000000,634.686987668,195.795697452,0.000000000
8.200000000,632.281708801,198.991731490,0.000000000
8.400000000,629.876429934,202.187765528,0.000000000
8.600000000,627.471151067,205.383799566,0.000000000
8.800000000,625.065872200,208.579833604,0.000000000
9.000000000,622.660593333,211.775867642,0.000000000
9.200000000,620.255314465,214.971901679,0.000000000
9.400000000,617.850035598,218.167935717,0.000000000
9.600000000,615.444756731,221.363969755,0.000000000
9.800000000,613.039477864,224.560003793,0.000000000
10.000000000,610.634198997,227.756037831,0.000000000
10.200000000,608.228920130,230.952071869,0.000000000
10.400000000,605.823641263,234.148105907,0.000000000
10.600000000,603.418362395,237.344139945,0.000000000
10.800000000,601.013083528,240.540173982,0.000000000
11.000000000,598.607804661,243.736208020,0.000000000
11.200000000,596.202525794,246.932242058,0.000000000
11.400000000,593.797246927,250.128276096,0.000000000
11.600000000,591.391968060,253.324310134,0.000000000
11.800000000,588.986689193,256.520344172,0.000000000
